"full_name","diameter","epoch_mjd","e","a","i","om","w","ma","n","moid"
" 20236 (1998 BZ7)",,60200,0.5608,2.034,6.51,111.24,104.55,266.79,0.3398,0.05
" 20425 (1998 VD35)",,60200,0.4767,1.565,6.99,227.26,296.32,191.28,0.5037,0.00408
" 22753 (1998 WT)",,60200,0.5699,1.219,3.20,307.39,324.77,232.39,0.7324,0.0336
" 23187 (2000 PN9)",,60200,0.5892,1.847,51.33,164.31,293.52,10.46,0.3926,0.015
" 25143 Itokawa (1998 SF36)",0.33,60200,0.2803,1.324,1.62,69.08,162.83,243.81,0.6469,0.0131
" 26663 (2000 XK47)",,60200,0.4717,1.546,13.53,303.61,231.22,263.72,0.5126,0.0355
" 27002 (1998 DV9)",,60200,0.4331,1.744,8.70,130.34,0.82,32.44,0.4279,0.00209
" 29075 (1950 DA)",1.3,60200,0.5082,1.698,12.17,356.65,224.67,45.28,0.4454,0.0414
" 31669 (1999 JT6)",,60200,0.5776,2.137,9.54,78.77,39.08,331.22,0.3154,0.00122
" 33342 (1998 WT24)",0.432,60200,0.4176,0.7188,7.37,81.66,167.52,100.47,1.617,0.01
" 35107 (1991 VH)",0.929,60200,0.1442,1.137,13.91,139.34,206.95,135.52,0.8126,0.0262
" 35396 (1997 XF11)",0.704,60200,0.4837,1.442,4.10,213.65,103.06,44.44,0.569,0.000305
" 37638 (1993 VB)",,60200,0.5197,1.913,5.08,145.57,323.19,87.60,0.3724,0.0011
" 37655 Illapa (1994 PM)",,60200,0.7524,1.478,18.03,139.54,303.87,35.58,0.5486,0.0247
" 38071 (1999 GU3)",,60200,0.5077,2.089,12.74,195.49,8.81,31.52,0.3263,0.0297
" 39572 (1993 DQ1)",1.554,60200,0.4922,2.037,10.02,313.53,344.87,70.09,0.339,0.0288
" 41429 (2000 GE2)",0.204,60200,0.5553,1.593,2.17,351.91,297.22,206.75,0.4904,0.011
" 52760 (1998 ML14)",1.0,60200,0.6235,2.409,2.43,338.70,20.33,241.69,0.2636,0.0167
" 52768 (1998 OR2)",1.75,60200,0.5755,2.38,5.88,26.94,174.60,333.83,0.2684,0.00675
" 53319 (1999 JM8)",7.,60200,0.6415,2.723,13.84,133.62,166.82,140.97,0.2193,0.0255
" 53426 (1999 SL5)",,60200,0.5383,1.923,22.77,239.07,43.35,20.20,0.3695,0.0252
" 53429 (1999 TF5)",,60200,0.6403,2.023,26.79,199.20,64.05,144.43,0.3427,0.0493
" 53550 (2000 BF19)",,60200,0.4197,1.495,7.18,313.20,324.91,211.63,0.539,0.0461
" 53789 (2000 ED104)",0.843,60200,0.2693,1.371,40.79,190.02,218.33,351.22,0.6142,0.0479
" 65679 (1989 UQ)",0.918,60200,0.2646,0.9149,1.30,178.09,15.03,105.34,1.126,0.014
" 65690 (1991 DG)",,60200,0.3633,1.428,11.14,180.12,63.31,341.27,0.5778,0.0379
" 65717 (1993 BX3)",,60200,0.2810,1.395,2.81,174.76,290.96,225.43,0.598,0.0469
" 65803 Didymos (1996 GT)",0.78,60200,0.3833,1.643,3.41,72.99,319.58,152.70,0.4681,0.0395
" 65909 (1998 FH12)",,60200,0.5398,1.091,3.56,108.60,284.50,211.01,0.8648,0.0129
" 66391 Moshup (1999 KW4)",1.317,60200,0.6884,0.6424,38.88,244.90,192.65,251.17,1.914,0.0125
" 67367 (2000 LY27)",,60200,0.2127,1.309,9.02,264.51,184.81,345.58,0.6585,0.0457
" 67381 (2000 OL8)",,60200,0.5431,1.321,10.67,294.89,266.89,138.28,0.6495,0.018
" 68216 (2001 CV26)",0.994,60200,0.3266,1.32,17.99,18.14,48.72,41.83,0.65,0.0243
" 68346 (2001 KZ66)",0.736,60200,0.4166,1.507,16.70,219.37,140.29,280.76,0.5325,0.039
" 68347 (2001 KB67)",,60200,0.3801,0.9621,17.12,245.86,243.78,294.35,1.044,0.0148
" 68372 (2001 PM9)",,60200,0.4162,1.618,8.11,252.96,322.33,326.40,0.4789,0.00533
" 68548 (2001 XR31)",1.182,60200,0.4367,1.707,22.71,302.03,24.73,9.72,0.4418,0.0253
" 68950 (2002 QF15)",1.650,60200,0.3442,1.057,25.15,236.21,255.58,51.78,0.9069,0.00529
" 69230 Hermes (1937 UB)",,60200,0.6237,1.655,6.07,34.06,92.90,94.20,0.4629,0.00474
