"full_name","diameter","epoch_mjd","e","a","i","om","w","ma","n","moid"
"465892 (2010 UT7)",,60200,0.6606,1.584,25.43,65.75,277.34,190.24,0.4946,0.0201
"466130 (2012 FZ23)",,60200,0.6104,2.483,75.62,179.33,358.14,330.29,0.252,0.0299
"466508 (2014 GY48)",,60200,0.4185,1.61,39.63,37.62,212.81,196.75,0.4826,0.0247
"467309 (1996 AW1)",,60200,0.5181,1.534,4.77,117.52,229.45,242.80,0.5187,0.0403
"467317 (2000 QW7)",,60200,0.4690,1.949,4.15,158.56,190.99,169.10,0.3624,0.0292
"467336 (2002 LT38)",,60200,0.3138,0.8453,6.18,259.28,162.77,333.44,1.268,0.0343
"467351 (2003 KO2)",,60200,0.5108,0.7277,23.49,215.47,204.03,76.06,1.588,0.000555
"467460 (2006 JF42)",,60200,0.5819,0.6715,5.94,40.84,17.78,311.49,1.791,0.00349
"468005 (2012 XD112)",,60200,0.3658,1.323,3.72,97.77,76.81,335.80,0.6477,0.0145
"468468 (2004 KH17)",0.197,60200,0.4982,0.7121,22.13,79.13,340.71,240.06,1.64,0.00408
"468727 (2010 JE87)",0.308,60200,0.4371,0.9042,16.91,120.48,242.32,95.79,1.146,0.0361
"468910 (2014 KQ76)",,60200,0.4233,1.007,4.77,127.64,325.12,202.51,0.9749,0.0414
"469445 (2002 LT24)",0.143,60200,0.4958,0.72,0.76,166.11,282.67,91.79,1.613,0.0114
"469896 (2005 WC1)",,60200,0.4865,1.4,19.98,264.95,256.81,224.58,0.5947,0.0144
"470310 (2007 LB15)",,60200,0.3952,0.9384,25.19,262.77,237.37,54.29,1.084,0.00712
"471240 (2011 BT15)",,60200,0.3024,1.293,1.66,105.35,308.81,239.10,0.6705,0.000396
"471241 (2011 BX18)",1.451,60200,0.7298,2.874,14.56,310.82,303.95,172.88,0.2023,0.0294
"471323 (2011 KW15)",,60200,0.4938,1.17,23.66,283.36,97.51,191.61,0.7789,0.0441
"471926 Jormungandr (2013 KN6)",,60200,0.8507,1.466,23.55,229.42,232.52,320.90,0.5555,0.0498
"474158 (1999 FA)",,60200,0.1327,1.078,12.03,166.08,296.99,13.09,0.8803,0.00482
"474163 (1999 SO5)",,60200,0.0652,1.086,13.37,196.07,359.72,226.37,0.8709,0.0131
"474231 (2001 HZ7)",,60200,0.4983,1.47,5.43,156.29,312.87,251.10,0.5533,0.0471
"475534 (2006 TS7)",,60200,0.5803,0.9465,5.50,225.14,300.06,43.75,1.07,0.0153
"476601 (2008 SE85)",,60200,0.5249,1.626,29.61,177.43,294.89,38.79,0.4755,0.0256
"477162 (2009 ES)",,60200,0.3292,1.436,30.33,343.72,311.19,51.53,0.5726,0.0408
"477465 (2009 XZ1)",,60200,0.5339,0.8557,8.16,81.98,152.99,11.49,1.245,0.042
"477519 (2010 DJ56)",0.321,60200,0.2453,1.25,34.84,149.92,309.27,309.55,0.7053,0.026
"478574 (2012 TS78)",,60200,0.3817,1.608,32.67,8.28,196.79,290.35,0.4833,0.00615
"480808 (1994 XL1)",,60200,0.5262,0.6709,28.17,252.65,356.57,321.99,1.794,0.0352
"480820 (1998 VF32)",,60200,0.4439,0.8508,23.75,236.26,320.96,121.82,1.256,0.0362
"480822 (1998 YM4)",,60200,0.7195,1.477,3.43,341.76,344.56,316.31,0.5492,0.0466
"480858 (2001 PT9)",,60200,0.4550,1.468,7.18,329.99,261.60,190.35,0.554,0.0284
"480883 (2001 YE4)",,60200,0.5404,0.6769,4.85,305.33,318.97,217.29,1.77,0.0314
"480936 (2003 QH5)",0.537,60200,0.2201,1.26,17.62,299.22,321.16,108.94,0.6971,0.00652
"481327 (2006 BB27)",0.216,60200,0.2456,1.362,27.16,132.18,144.65,278.86,0.62,0.0498
"481394 (2006 SF6)",,60200,0.2806,0.9501,5.84,227.96,305.58,316.22,1.064,0.0189
"481457 (2006 XD2)",,60200,0.4251,1.267,3.56,65.59,109.54,220.44,0.6912,0.0179
"481482 (2007 CA19)",,60200,0.8211,2.808,9.60,170.00,102.52,172.30,0.2094,0.0194
"481532 (2007 LE)",,60200,0.5160,1.839,29.54,73.65,120.22,206.15,0.3952,0.0457
"481817 (2008 UL90)",,60200,0.3798,0.695,24.31,81.13,183.65,42.00,1.701,0.0274
"482250 (2011 LL2)",,60200,0.0964,1.134,24.68,68.24,163.57,72.38,0.8161,0.0139
"482344 (2011 WL15)",,60200,0.2820,1.352,18.39,72.91,170.67,343.87,0.627,0.0415
"482467 (2012 LK9)",,60200,0.6198,2.512,10.14,61.84,314.57,251.17,0.2475,0.0471
"482488 (2012 SW20)",,60200,0.6786,2.46,10.16,209.59,62.35,321.87,0.2554,0.00127
"482650 (2013 BK18)",,60200,0.4950,1.626,28.88,137.70,64.67,27.71,0.4752,0.0202
"482766 (2013 GF69)",,60200,0.4978,1.966,10.01,174.89,153.19,214.10,0.3574,0.014
"482796 (2013 QJ10)",,60200,0.4251,0.9591,18.15,327.44,243.85,332.00,1.049,0.0248
"482798 (2013 QK48)",,60200,0.8300,1.585,18.98,141.46,47.14,72.25,0.4937,0.026
"483422 (2000 CE59)",,60200,0.1667,1.138,12.26,318.63,307.49,51.33,0.8124,0.00808
"483423 (2000 DO1)",,60200,0.6818,1.43,3.46,335.81,302.78,239.86,0.5765,0.0135
"483432 (2001 DF47)",,60200,0.3708,1.215,18.47,146.63,260.26,359.54,0.7358,0.0178
"483508 (2003 CR1)",0.202,60200,0.4630,1.453,12.72,310.95,101.97,314.64,0.5627,0.0263
"483560 (2004 BV1)",,60200,0.3674,1.463,12.16,96.74,223.29,154.03,0.5571,0.0134
"483989 (2006 CY10)",,60200,0.4853,1.959,6.78,32.51,167.36,131.29,0.3595,0.00889
"484402 (2007 XH16)",0.452,60200,0.2348,1.187,27.43,91.27,58.34,18.13,0.7621,0.0129
"484506 (2008 ER7)",,60200,0.6241,1.487,2.24,323.42,81.02,260.39,0.5438,0.000991
"484517 (2008 EC69)",,60200,0.6178,2.755,24.78,93.23,178.18,121.64,0.2155,0.0362
"484976 (2009 UN3)",,60200,0.5756,2.327,37.43,141.97,338.74,303.91,0.2776,0.0241
"485652 (2011 WO41)",,60200,0.7314,3.019,20.05,111.90,125.52,75.74,0.1879,0.0197
"487577 (2014 YQ15)",,60200,0.2358,0.9638,10.92,81.83,252.35,174.27,1.042,0.0031
"488453 (1994 XD)",,60200,0.7339,2.344,4.33,96.02,249.55,12.85,0.2746,0.0202
"488490 (2000 AF205)",,60200,0.2770,1.035,2.41,219.90,127.52,277.94,0.9363,0.0182
"488515 (2001 FE90)",,60200,0.4943,1.936,8.79,98.49,145.19,110.53,0.3659,0.0147
"488789 (2004 XK50)",1.039,60200,0.6887,1.451,38.22,94.07,104.01,223.38,0.5637,0.0427
"489486 (2007 GS3)",,60200,0.1291,1.061,15.09,215.39,61.06,305.53,0.9016,0.0229
"490354 (2009 FF19)",,60200,0.4092,1.213,0.56,84.88,244.83,192.11,0.738,0.00423
"490581 (2009 WZ104)",0.237,60200,0.1927,0.8553,9.83,263.25,10.55,293.10,1.246,0.0293
"494658 (2000 UG11)",,60200,0.5716,1.929,8.91,223.92,240.86,175.18,0.3679,0.00931
"494690 (2004 JQ1)",,60200,0.4500,1.194,32.83,77.05,272.67,225.86,0.7559,0.0332
"494697 (2004 SW55)",,60200,0.3340,1.428,8.79,75.12,352.83,10.14,0.5778,0.032
"494710 (2005 MO13)",,60200,0.4107,0.8636,6.32,176.57,250.21,120.50,1.228,0.0434
"494999 (2010 JU39)",,60200,0.5461,0.9191,36.21,95.17,311.37,206.72,1.118,0.00517
"495187 (2012 VO76)",,60200,0.2150,1.204,36.95,229.47,297.39,334.40,0.7458,0.0331
"496005 (2007 XJ16)",,60200,0.5563,2.258,6.23,309.08,32.96,276.75,0.2904,0.0261
"496013 (2008 EL6)",,60200,0.4810,1.728,13.14,177.66,38.42,280.26,0.4338,0.022
"496816 (1989 UP)",0.3,60200,0.4721,1.862,3.86,53.16,17.80,101.37,0.388,0.00551
"496817 (1989 VB)",0.4,60200,0.4603,1.862,2.19,37.84,330.91,123.23,0.3881,0.0164
"496860 (1999 XL136)",,60200,0.6468,1.82,8.91,270.05,275.37,227.81,0.4015,0.00465
"496901 (2001 HB)",,60200,0.6939,1.314,9.28,195.82,237.98,358.39,0.6545,0.0128
"497117 (2004 FU4)",,60200,0.2638,1.26,23.25,31.57,46.29,17.81,0.6967,0.0029
"499582 (2010 TH19)",0.461,60200,0.3100,1.464,6.83,254.20,201.48,54.85,0.5562,0.0358
"500080 (2011 WV134)",,60200,0.6760,2.793,6.03,157.68,25.90,166.09,0.2111,0.0202
"503861 (1998 WZ1)",,60200,0.5567,2.163,4.31,344.85,137.38,271.80,0.3098,0.0216
"503941 (2003 UV11)",0.260,60200,0.7627,1.453,5.93,31.78,124.96,99.05,0.5625,0.00781
"504034 (2005 UJ159)",,60200,0.8317,3.343,35.59,80.28,95.77,321.95,0.1612,0.0399
"504256 (2006 VD13)",,60200,0.4835,1.948,11.71,313.96,162.88,40.96,0.3625,0.0315
"504680 (2009 EO2)",,60200,0.4807,1.712,11.48,264.64,220.62,186.75,0.4401,0.0136
"504800 (2010 CO1)",0.380,60200,0.2179,1.013,24.02,351.56,252.69,52.01,0.9671,0.0221
"505178 (2012 TV78)",,60200,0.5486,1.816,7.47,251.75,244.95,107.42,0.4028,0.0138
"505657 (2014 SR339)",0.971,60200,0.3039,1.3,29.79,138.75,299.62,311.03,0.6653,0.0344
"506074 Svarog (2015 UM67)",0.665,60200,0.6869,1.558,6.00,150.06,132.23,44.97,0.5067,0.048
"506491 (2003 UW29)",,60200,0.8385,1.169,3.76,196.52,55.21,304.33,0.7793,0.0181
"506732 (2006 VW2)",,60200,0.2945,1.236,10.05,229.77,299.70,3.07,0.7174,0.0164
"506859 (2007 VW137)",,60200,0.7358,2.236,5.83,297.75,247.16,233.86,0.2947,0.0332
"507716 (2013 UP8)",,60200,0.6183,2.537,47.82,55.16,187.31,220.96,0.244,0.0407
"508774 (1999 JE1)",,60200,0.7018,1.323,20.91,53.06,302.74,315.10,0.6475,0.0241
"508908 (2003 YX1)",,60200,0.2670,0.8797,5.76,89.62,223.15,79.48,1.195,0.0113
"508967 (2004 VC17)",,60200,0.8108,1.895,20.40,229.17,65.17,96.39,0.3777,0.00167
"509191 (2006 OC5)",,60200,0.6521,2.402,4.74,149.12,245.76,199.50,0.2648,0.0144
"509352 (2007 AG)",,60200,0.3741,0.7206,11.95,283.22,5.70,268.05,1.611,0.00267
"509456 (2007 LF)",,60200,0.4196,1.683,6.99,239.40,333.84,178.95,0.4514,0.00389
"509821 (2008 WQ63)",,60200,0.6078,1.733,0.92,317.25,228.87,135.89,0.4319,0.00809
"509935 (2009 QL8)",,60200,0.5409,1.931,4.24,84.48,339.63,55.83,0.3673,0.0285
"510055 (2010 FH81)",0.200,60200,0.2105,1.226,16.79,84.61,158.28,293.26,0.7265,0.036
"510529 (2012 EY11)",,60200,0.1508,1.148,9.02,167.59,238.88,224.70,0.8009,0.0286
"511008 (2013 PX6)",1.647,60200,0.6514,2.597,13.66,187.39,229.66,131.44,0.2355,0.0297
"511684 (2015 BN509)",0.315,60200,0.5684,1.007,4.15,120.10,143.18,135.92,0.9757,0.0245
"512234 (2015 VO66)",,60200,0.5999,0.9522,14.02,64.46,219.30,226.70,1.061,0.0435
"513126 (1998 QP)",,60200,0.5826,1.786,9.35,326.45,78.42,160.71,0.413,0.0137
"513171 (2004 MD6)",,60200,0.5630,0.9509,29.32,263.84,231.46,342.04,1.063,0.00939
"513312 (2007 DM41)",,60200,0.5276,1.181,2.26,1.73,274.46,264.78,0.7676,0.00768
"513489 (2009 EV)",,60200,0.5235,1.729,17.00,138.56,250.26,211.99,0.4337,0.0308
"514150 (2015 KJ57)",,60200,0.4041,1.559,2.63,14.40,336.46,37.13,0.5064,0.0124
"514568 (1994 RC)",,60200,0.6034,2.264,4.76,344.26,286.54,197.70,0.2894,0.038
"514596 (2003 FG)",,60200,0.7149,1.241,15.66,6.99,312.92,241.34,0.7126,0.0431
"515767 (2015 JA2)",,60200,0.3492,1.034,16.42,126.61,246.25,218.74,0.9376,0.0419
"516154 (2016 CL32)",,60200,0.4602,1.543,12.21,123.50,292.92,8.69,0.5141,0.0237
"516155 (2016 DP)",,60200,0.4770,1.023,13.33,54.37,254.01,11.66,0.9532,0.0322
"517103 (2013 EM20)",,60200,0.3180,1.371,8.36,73.88,350.15,271.66,0.6138,0.0437
"517681 (2015 DE198)",,60200,0.5831,2.062,12.25,33.25,218.14,277.35,0.3328,0.0439
"518640 (2008 KZ5)",,60200,0.4544,1.844,8.37,142.59,194.40,3.19,0.3937,0.00287
"518678 (2008 UZ94)",,60200,0.5724,2.192,30.25,248.22,159.70,201.46,0.3038,0.0271
"518810 (2010 CF19)",0.083,60200,0.2699,1.193,7.18,154.71,265.30,200.37,0.7562,0.0324
"518847 (2010 DM)",,60200,0.8400,2.081,5.00,140.77,221.02,237.45,0.3284,0.0324
"522684 (2016 JP)",,60200,0.3835,0.9939,11.33,202.56,255.64,226.80,0.9946,0.0304
"523589 (2001 HA4)",1.851,60200,0.7933,2.69,17.18,354.05,95.61,45.65,0.2234,0.0249
"523598 (2003 ED50)",,60200,0.5466,1.416,33.73,173.51,93.97,24.92,0.5849,0.025
"523606 (2005 CJ)",,60200,0.5255,1.749,1.08,357.85,81.94,33.00,0.426,0.0073
"523609 (2005 PJ2)",,60200,0.6593,1.198,17.42,326.44,128.87,228.92,0.7516,0.0444
"523623 (2008 CB22)",,60200,0.6531,2.365,7.27,51.18,33.40,119.31,0.2709,0.0464
"523630 (2009 OG)",,60200,0.8586,2.705,48.39,309.39,114.16,49.18,0.2215,0.0422
"523650 (2011 GQ61)",,60200,0.4121,1.59,65.15,333.52,155.10,82.58,0.4915,0.0296
"523654 (2011 SR5)",,60200,0.7056,1.178,29.13,180.11,305.55,88.63,0.7707,0.000212
"523656 (2011 WO4)",,60200,0.4975,1.738,60.94,225.18,235.99,34.57,0.4303,0.0296
"523662 (2012 MU2)",,60200,0.5138,2.055,11.22,250.30,16.60,290.22,0.3346,0.00128
"523664 (2012 OD1)",0.346,60200,0.5027,0.8287,42.27,303.73,224.37,28.57,1.306,0.0384
"523685 (2014 DN112)",,60200,0.4941,1.848,4.30,260.20,145.89,346.89,0.3922,0.00219
"523732 (2014 PG51)",,60200,0.4530,1.206,3.79,275.76,294.12,14.02,0.7444,0.0228
"523775 (2014 YB35)",0.279,60200,0.4840,1.876,12.65,3.73,188.63,103.29,0.3836,0.0256
"523788 (2015 FP118)",,60200,0.5499,2.12,2.68,201.34,108.17,233.84,0.3192,0.0299
"523804 (2000 YF29)",,60200,0.3715,1.492,6.30,124.75,28.11,139.59,0.5408,0.0102
"523808 (2007 ML24)",,60200,0.3585,0.7587,33.44,281.87,201.48,50.57,1.492,0.0236
"523813 (2008 VB1)",,60200,0.2753,1.278,10.32,50.35,137.00,351.12,0.6822,0.0214
"523814 (2008 WN2)",,60200,0.3119,1.418,3.75,227.09,283.39,222.50,0.5837,0.0482
"523816 (2009 ST103)",0.851,60200,0.7182,2.7,15.74,226.45,234.65,37.50,0.2221,0.0371
"523818 (2010 SH13)",,60200,0.1371,1.206,13.86,190.58,10.97,76.37,0.7442,0.042
"523820 (2011 GN44)",,60200,0.5978,2.245,55.02,16.92,319.40,190.10,0.2931,0.00627
"523934 (1998 FF14)",,60200,0.3123,1.253,38.69,359.84,301.12,330.75,0.7024,0.0277
"523950 (1998 SZ27)",,60200,0.5069,0.9052,23.65,166.69,47.72,84.58,1.145,0.00757
"524475 (2002 KJ4)",,60200,0.5590,2.267,27.86,75.62,155.24,92.22,0.2888,0.0173
"524522 (2002 VE68)",,60200,0.4101,0.7236,9.04,231.47,355.41,127.51,1.601,0.0255
"524594 (2003 NW1)",,60200,0.6434,2.424,6.16,265.05,118.85,103.43,0.2612,0.025
"525229 (2004 UU1)",,60200,0.2735,1.226,29.96,217.76,113.61,4.84,0.7259,0.0264
"525231 (2004 VB)",,60200,0.4090,1.459,10.86,52.35,71.62,214.21,0.5595,0.0431
"525268 (2004 XL14)",,60200,0.4104,0.7595,21.46,85.61,157.58,327.07,1.489,0.0265
"525356 (2005 BG14)",,60200,0.7275,1.994,21.68,94.92,281.02,244.76,0.3501,0.0294
"525484 (2005 GL)",,60200,0.3062,1.056,15.90,43.61,265.35,275.51,0.9079,0.00658
"526587 (2006 TB)",,60200,0.3245,1.562,27.57,169.31,180.98,251.54,0.5049,0.0486
"526670 (2006 UL217)",,60200,0.3486,1.43,9.92,45.18,310.13,330.57,0.5762,0.021
"526878 (2007 FE)",,60200,0.4570,1.793,7.00,122.62,135.20,286.27,0.4104,0.0262
"527715 (2007 YQ56)",,60200,0.2881,1.141,26.45,276.00,273.09,249.71,0.8087,0.0112
"528159 (2008 HS3)",,60200,0.2256,1.35,8.17,227.69,5.04,275.00,0.6284,0.0352
"528804 (2009 BJ58)",,60200,0.7126,1.85,13.02,131.16,85.89,264.80,0.3917,0.0158
"529366 (2009 WM1)",,60200,0.1690,1.18,25.77,240.25,162.64,294.30,0.7685,0.000755
"529668 (2010 JL33)",1.778,60200,0.7351,2.678,5.38,52.45,309.90,340.74,0.2249,0.0315
"529753 (2010 MF1)",0.363,60200,0.5884,2.498,9.10,286.94,27.86,112.77,0.2497,0.0412
"529951 (2010 UD)",,60200,0.2640,1.098,26.29,23.74,262.26,147.44,0.8569,0.0154
"530085 (2010 XC11)",,60200,0.8499,2.517,9.11,94.22,121.30,40.61,0.2468,0.0305
"530520 (2011 LT17)",,60200,0.2874,1.1,20.90,83.45,270.62,164.34,0.8547,0.00339
"530974 (2012 BN11)",,60200,0.3948,1.458,4.36,153.73,69.72,175.68,0.56,0.0209
"531060 (2012 DJ61)",,60200,0.5152,0.9176,53.63,346.27,311.96,293.32,1.121,0.0275
"531277 (2012 MM11)",,60200,0.6481,2.113,3.18,245.43,124.23,213.11,0.3208,0.0114
"531899 (2013 BE19)",,60200,0.2974,0.9113,31.01,309.26,311.96,332.01,1.133,0.0439
"531914 (2013 BW76)",,60200,0.5336,2.059,40.36,58.22,0.54,216.93,0.3337,0.0285
"531944 (2013 CU83)",,60200,0.1828,1.285,10.34,303.34,18.83,266.12,0.6769,0.0417
"533011 (2014 AY28)",,60200,0.2826,1.426,5.71,169.58,22.69,199.89,0.5791,0.0354
"533372 (2014 GG17)",,60200,0.3524,1.367,39.15,195.28,239.56,51.16,0.6168,0.0153
"533671 (2014 LJ21)",,60200,0.8956,2.889,24.28,126.60,302.87,331.06,0.2007,0.0258
"533722 (2014 NE52)",0.701,60200,0.6587,2.385,3.86,54.52,337.60,150.03,0.2675,0.036
"535844 (2015 BY310)",,60200,0.4013,1.587,4.80,328.46,229.47,80.49,0.4932,0.0226
"536531 (2015 DV215)",,60200,0.4026,1.538,13.20,13.93,41.36,226.42,0.5165,0.00753
"537395 (2015 LG2)",,60200,0.1816,1.26,21.28,133.12,188.90,260.92,0.6972,0.0182
"538212 (2016 CA136)",0.654,60200,0.7813,2.032,1.26,239.75,125.00,242.60,0.3403,0.00706
"539063 (2016 MK1)",,60200,0.7160,1.501,10.78,178.31,240.68,240.33,0.5362,0.0242
"549948 (2011 WL2)",,60200,0.2833,1.078,14.13,212.91,88.85,283.40,0.8811,0.00151
"551685 (2013 HT15)",,60200,0.4230,1.101,2.92,23.28,315.92,284.17,0.8529,0.0267
"576763 (2012 UR136)",,60200,0.4602,1.917,6.06,87.51,202.82,89.72,0.3713,0.0322
"585310 (2017 YZ1)",,60200,0.3348,1.327,20.87,277.71,298.43,202.05,0.6446,0.000478
"605070 (2016 BT39)",,60200,0.5382,1.969,8.96,174.98,203.19,297.53,0.3568,0.0479
"606441 (2017 YT5)",,60200,0.4192,1.796,36.47,133.54,197.02,243.09,0.4094,0.042
"612012 (1983 LC)",,60200,0.7149,2.603,1.56,159.69,184.91,176.85,0.2347,0.025
"612050 (1997 GL3)",,60200,0.7843,2.27,6.68,194.35,262.56,268.34,0.2882,0.00395
"612098 (1999 RM45)",,60200,0.6443,1.684,10.89,162.83,88.67,35.24,0.4512,0.0023
"612143 (2000 BO28)",,60200,0.6001,1.699,6.34,319.75,303.39,183.88,0.4452,0.0476
"612227 (2001 QC34)",,60200,0.1876,1.129,6.24,271.45,215.49,3.76,0.822,0.0292
"612267 (2001 SG286)",,60200,0.3472,1.358,7.77,241.11,56.29,347.53,0.6226,0.00547
"612326 (2002 CD14)",,60200,0.5791,1.778,2.89,127.67,141.21,343.23,0.4156,0.0282
"612337 (2002 EY2)",,60200,0.4866,1.725,21.73,343.40,51.08,253.68,0.4349,0.000423
"612342 (2002 FC)",,60200,0.6609,2.832,6.80,50.28,194.90,166.75,0.2068,0.0235
"612348 (2002 GZ8)",,60200,0.6399,2.821,5.32,309.75,161.47,204.38,0.208,0.0384
"612356 (2002 JX8)",,60200,0.3057,0.7696,4.32,68.56,338.16,20.59,1.46,0.021
"612358 (2002 JE9)",,60200,0.4165,1.066,8.77,199.83,255.89,203.44,0.8956,0.00749
"612380 (2002 PF43)",,60200,0.3661,1.644,13.86,142.75,191.65,358.57,0.4677,0.0345
"612509 (2002 UK11)",,60200,0.5754,1.324,5.37,69.19,84.54,208.39,0.6473,0.0122
"612522 (2002 VP69)",,60200,0.5267,2.02,10.12,306.83,189.05,65.59,0.3434,0.0243
"612536 (2003 AA3)",,60200,0.2891,1.421,13.78,106.39,347.02,79.06,0.5819,0.0308
"612780 (2004 MD)",,60200,0.5377,1.916,9.76,85.46,124.18,106.97,0.3716,0.0135
"612786 (2004 PJ2)",,60200,0.3419,1.418,2.58,317.14,281.71,150.56,0.5835,0.0232
"612813 (2004 RF84)",,60200,0.6038,2.164,23.29,344.53,122.61,307.92,0.3096,0.0323
"612856 (2004 TP1)",,60200,0.3892,1.291,7.49,30.04,87.88,274.06,0.6717,0.0283
"612901 (2004 XP14)",,60200,0.1587,1.052,32.95,281.02,273.72,48.71,0.9135,0.00203
"612924 (2005 CL)",,60200,0.7543,1.987,4.44,318.43,298.49,197.21,0.3519,0.0238
"612989 (2005 LW39)",,60200,0.7159,1.988,28.46,251.48,275.20,200.62,0.3517,0.0264
"613286 (2005 YQ96)",,60200,0.3335,0.7435,22.22,282.67,340.11,59.63,1.538,0.0201
"613403 (2006 GB)",,60200,0.1795,0.9586,10.07,183.69,242.89,308.57,1.05,0.00872
"613450 (2006 PY17)",,60200,0.6402,1.896,2.85,309.93,133.16,152.68,0.3776,0.0258
"613569 (2006 TU7)",,60200,0.4703,0.8513,2.95,91.36,69.22,100.77,1.255,0.0236
"613714 (2007 DL41)",,60200,0.4763,1.457,4.67,150.73,140.24,61.89,0.5602,0.0461
"613726 (2007 EF)",0.260,60200,0.4102,0.8203,21.74,158.34,226.03,177.88,1.327,0.0263
"613986 (2008 JG)",,60200,0.2960,1.052,7.91,128.77,242.38,318.71,0.9138,0.0486
"614134 (2008 TC4)",,60200,0.5545,0.7803,10.65,212.54,324.35,108.95,1.43,0.00339
"614433 (2009 KK)",,60200,0.4552,1.502,18.21,68.13,247.34,241.31,0.5353,0.000731
"614470 Flordeneu (2009 ST19)",,60200,0.5949,2.361,6.73,0.16,336.91,310.84,0.2717,0.00962
"618350 (2021 PS2)",,60200,0.4734,1.554,7.93,163.37,78.86,53.97,0.5089,0.0338
"619106 (2005 SQ)",,60200,0.5746,1.654,1.20,317.13,294.95,203.61,0.4632,0.00557
"619920 (2006 KY86)",,60200,0.6486,2.294,7.47,222.30,321.66,0.83,0.2836,0.0492
"620055 (2003 BK47)",,60200,0.7063,2.749,20.66,138.82,235.30,232.07,0.2162,0.0202
"620056 (2004 UR1)",,60200,0.6161,2.176,4.08,250.92,73.49,336.38,0.307,0.0192
"620063 (2009 DH39)",,60200,0.6001,1.849,53.69,155.40,68.25,261.53,0.392,0.0202
"620066 (2010 SC41)",,60200,0.6067,1.866,0.25,235.51,267.61,347.76,0.3868,0.00117
"620071 (2011 WN15)",,60200,0.8579,1.217,33.43,75.55,218.57,315.74,0.7343,0.00333
"620082 (2014 QL433)",,60200,0.7177,2.09,4.43,322.78,260.42,28.45,0.3262,0.00984
"620084 (2014 WD201)",,60200,0.5020,2.096,8.47,105.69,199.86,28.26,0.3247,0.0406
"620085 (2014 WG365)",,60200,0.3333,1.296,25.12,71.31,111.12,247.81,0.6681,0.0113
"620092 (2015 HB10)",,60200,0.5715,1.854,5.70,6.14,79.66,190.73,0.3904,0.0263
"620094 (2016 AJ193)",1.374,60200,0.8163,3.261,22.57,331.24,82.05,118.66,0.1674,0.0157
"620095 (2016 CB194)",,60200,0.6324,2.512,9.88,48.47,325.73,20.31,0.2476,0.000416
"620096 (2016 HL)",,60200,0.6155,1.813,5.15,232.69,252.07,33.66,0.4037,0.00782
"620099 (2016 OP5)",,60200,0.4524,1.616,8.23,79.52,291.02,146.38,0.4799,0.0451
"620100 (2016 WJ1)",,60200,0.5033,1.34,2.89,82.00,87.78,90.94,0.6355,0.000368
"620103 (2018 LC3)",,60200,0.5480,1.346,44.35,111.19,76.25,162.90,0.6312,0.049
"620107 (2020 XK7)",,60200,0.5593,2.012,8.08,197.59,26.95,303.81,0.3454,0.0419
"621890 (2011 PO1)",,60200,0.6348,2.516,5.74,210.63,166.79,359.93,0.247,0.0347
"       (1979 XB)",,44221,0.7084,2.228,24.73,86.06,75.58,346.32,0.2964,0.0239
"       (1991 GO)",,60200,0.6539,1.926,9.55,23.97,89.73,67.46,0.3686,0.0255
"       (1994 CJ1)",,60200,0.3256,1.491,2.31,172.03,65.27,39.34,0.5416,0.0313
"       (1994 EK)",,60200,0.6384,2.151,6.04,332.86,99.39,154.60,0.3124,0.0309
"       (1994 NE)",,49540,0.6064,2.047,27.59,104.99,246.12,344.65,0.3366,0.016
"       (1995 CR)",,60200,0.8683,0.907,4.07,342.47,322.69,335.79,1.141,0.0128
"       (1996 JA1)",,60200,0.7004,2.568,21.60,55.80,248.55,223.35,0.2395,0.0168
"       (1997 GD32)",,60200,0.5991,2.103,5.26,55.31,226.59,219.19,0.3232,0.0147
"       (1997 QK1)",,60200,0.6468,2.782,2.89,306.77,3.01,212.66,0.2124,0.0175
"       (1997 VG6)",,50764,0.5615,1.602,18.43,51.99,250.51,41.44,0.4861,0.0479
"       (1997 WQ23)",,60200,0.4949,1.737,2.45,55.82,296.63,122.93,0.4305,0.0101
"       (1998 BY7)",,60200,0.6088,2.02,3.28,121.88,90.63,303.26,0.3433,0.0231
"       (1998 HT31)",,50936,0.6928,2.511,6.79,213.90,80.42,348.07,0.2477,0.0312
"       (1998 HH49)",,60200,0.5021,1.551,8.42,23.47,287.91,7.19,0.5104,0.00246
"       (1998 QK28)",,60200,0.5789,2.336,7.87,174.52,204.81,354.65,0.276,0.00945
"       (1998 QA62)",,60200,0.7414,2.042,24.84,180.81,273.92,192.18,0.3378,0.0167
"       (1998 SH2)",0.383,60200,0.7137,2.742,2.40,6.38,268.43,212.93,0.217,0.0189
"       (1998 SU4)",,60200,0.5805,1.148,23.15,350.59,241.83,164.68,0.8013,0.02
"       (1998 SY14)",,60200,0.6697,2.836,3.47,39.66,22.49,68.60,0.2063,0.00887
"       (1998 SL36)",,60200,0.4180,1.391,19.06,353.09,116.79,12.95,0.6009,0.0219
"       (1998 US18)",,60200,0.6764,2.606,9.66,207.26,115.48,340.76,0.2342,0.0334
"       (1998 WB2)",0.150,60200,0.5869,1.976,2.38,52.23,78.66,316.86,0.3548,0.0146
"       (1998 XD12)",,51166,0.6239,1.399,13.53,259.98,69.28,38.75,0.5957,0.0322
"       (1999 FR19)",,51262,0.4766,1.544,20.81,0.75,106.73,28.35,0.5137,0.0359
"       (1999 GL4)",,60200,0.6023,2.12,7.26,178.40,293.87,356.28,0.3194,0.0262
